,Dataset,Type,FOR
0,Lung cancer,Micro,0.03293233991694387
6,WHO,Other,0.21669093844818904
9,Lung transcriptomics,Multi,0.07505990829490351
12,Lung pneumotyping,Multi,0.05921889952674379
25,CRC (IJ),Multi,0.037632763804155145
27,Hippgut (stool),Multi,0.10842717043269456
30,Hippgut (oral),Multi,0.12769752098155748
34,Nature Gut IBD,Multi,0.09551494989626148
37,Cell,Micro,0.06097955780423839
40,natcom / acetylation,Gene,0.37499999999999994
43,PLOS,Micro,0.03700632269634299
45,CA,Multi,0.048615800615173996
49,Statin,Micro,0.05642601659746725
51,Liver M Full,Gene,0.17439367454248797
54,Liver F Full,Gene,0.17622679088679843
57,Covid full,Other,0.13820094962010013
60,Mennonites,Multi,0.07962374166022222
63,Covid,Other,0.03571428598979592
66,Airplane,Other,0.176470588
69,Spatial,Gene,0.11491935541472098
72,HDAC Full,Gene,0.18604981845345825
75,Micro full (reshef),Micro,0.03672249902327463
78,Baseball,Other,0.1089108911738653
