,Dataset,Type,FOR
2,Lung cancer,Micro,0.03575233058720663
8,WHO,Other,0.13712802038950575
11,Lung transcriptomics,Multi,0.07276324441770868
14,Lung pneumotyping,Multi,0.046669800481046006
26,CRC (IJ),Multi,0.030420233769004906
29,Hippgut (stool),Multi,0.11918063326549419
32,Hippgut (oral),Multi,0.13013050898687378
35,Nature Gut IBD,Multi,0.11904761853250191
38,Cell,Micro,0.03450687795310894
41,natcom / acetylation,Gene,0.11111111111111112
44,PLOS,Micro,0.02689691266592496
47,CA,Multi,0.03648981450916691
50,Statin,Micro,0.03858651528685017
53,Liver M Full,Gene,0.10012183889939262
56,Liver F Full,Gene,0.09974762496941982
59,Covid full,Other,0.0764468368278035
62,Mennonites,Multi,0.07308209992052715
65,Covid,Other,0.14285714300408164
68,Airplane,Other,0.0
71,Spatial,Gene,0.11996066900958627
74,HDAC Full,Gene,0.06353722998888434
77,Micro full (reshef),Micro,0.015533972285754802
80,Baseball,Other,0.05575221337344506
