,Dataset,Type,FDR
2,Lung cancer,Micro,0.6419587731677999
8,WHO,Other,0.06702985581989475
11,Lung transcriptomics,Multi,0.6210287426075423
14,Lung pneumotyping,Multi,0.7292948264165958
26,CRC (IJ),Multi,0.6319018516943309
29,Hippgut (stool),Multi,0.36788048785228605
32,Hippgut (oral),Multi,0.3344887374761481
35,Nature Gut IBD,Multi,0.040609137568600066
38,Cell,Micro,0.29840646396430015
41,natcom / acetylation,Gene,1.0
44,PLOS,Micro,0.8744769905214808
47,CA,Multi,0.6960000079349762
50,Statin,Micro,0.0571773225267405
53,Liver M Full,Gene,0.10026497794603122
56,Liver F Full,Gene,0.08279295061378154
59,Covid full,Other,0.09385421643467284
62,Mennonites,Multi,0.4384615400388381
65,Covid,Other,0.0
68,Airplane,Other,0.008849557309107995
71,Spatial,Gene,0.4465408818056248
74,HDAC Full,Gene,0.05287883139587748
77,Micro full (reshef),Micro,0.2129409219482951
80,Baseball,Other,0.030441399751080737
