,Dataset,Type,FDR
1,Lung cancer,Micro,0.641858188747667
7,WHO,Other,0.0651175140840562
10,Lung transcriptomics,Multi,0.6045321678253951
13,Lung pneumotyping,Multi,0.710138239725153
24,CRC (IJ),Multi,0.6216730132302765
28,Hippgut (stool),Multi,0.3551401855656913
31,Hippgut (oral),Multi,0.3370593290588096
33,Nature Gut IBD,Multi,0.032193159105467814
36,Cell,Micro,0.3069596953979016
39,natcom / acetylation,Gene,0.5
42,PLOS,Micro,0.8744855997237168
46,CA,Multi,0.6870229095936137
48,Statin,Micro,0.08246775846214516
52,Liver M Full,Gene,0.09704374386478569
55,Liver F Full,Gene,0.08010055343518989
58,Covid full,Other,0.0872996892751438
61,Mennonites,Multi,0.423287673021139
64,Covid,Other,0.6666666666666667
67,Airplane,Other,0.008849557309107995
70,Spatial,Gene,0.4197530847169638
73,HDAC Full,Gene,0.05217187543857795
76,Micro full (reshef),Micro,0.20853688926500968
79,Baseball,Other,0.030015198317862885
