S	Y	X
s1	1	0.306425931337904	-0.206900006437408
s2	2	-0.292375952873961	0.713751328549982
s3	3	1.84219036944087	2.30209307621504
s4	4	-0.0759234561625456	-1.82257323960336
s5	5	1.0819924344512	0.439507478959089
s6	6	0.482201934730566	0.136575411681231
s7	7	1.46171360661792	0.0854363334965609
s8	8	-0.106921545465224	-2.01821787896884
s9	9	-1.33103575751219	-1.1597547881176
s10	10	-0.5040927950756	0.748026556985617
s11	11	-0.36078428236137	-0.747928547851392
s12	12	0.493251809508427	1.01936083981412
s13	13	-0.168656154593863	1.46215966015559
s14	14	0.374679596098254	-0.214099092468943
s15	15	0.427607592147227	0.187515384639244
s16	16	-0.369997608299788	-0.798281561066833
s17	17	0.436733628433673	0.367297499383021
s18	18	-1.0477826982772	0.908054902360373
s19	19	-0.624314912755518	-0.0713679005520223
s20	20	-0.46794674396726	1.00332000560073
s21	21	-1.05228446445469	0.361958457017625
s22	22	0.0609175830556174	-0.761319985138489
s23	23	-1.66042825248406	-0.611186830507653
s24	24	-2.37980872660096	-0.981640501774423
s25	25	-0.900549376128634	1.00734237344056
s26	26	-0.427901623925593	-0.794256255078234
s27	27	-0.358451925700901	-0.57913759240444
s28	28	0.295768576715706	-1.41545975247101
s29	29	0.900989399278168	-0.360626830780146
s30	30	1.22888539869596	-0.894599208629402
s31	31	0.875354135957407	-0.975654427370114
s32	32	-0.334246165613857	0.583568211048251
s33	33	-0.0711758683357166	-0.519915824217986
s34	34	-0.730968065299323	0.601830890932928
s35	35	-0.0457907689370773	0.511514055651531
s36	36	0.0498078261079619	-0.68501311350599
s37	37	0.823215465822106	-1.50972842437521
s38	38	0.588394926065851	0.662849878247518
s39	39	1.73173100329301	-0.641381815074538
s40	40	0.935508701469173	-0.587589139438247
s41	41	0.605736248232862	1.97554395189622
s42	42	0.386094951113389	1.30245203743519
s43	43	1.6934470866013	-1.1444506572187
s44	44	1.7915559486301	1.30991273416586
s45	45	-2.42473635575765	-0.909852216234282
s46	46	0.200156922806339	0.276968238095943
s47	47	-1.97344965762625	1.57284055611048
s48	48	-0.470366787029214	0.996159344726644
s49	49	-1.02720984603075	0.681241533121307
s50	50	0.132838714658198	-0.806345150445391
