S	Y	X
s1	1	-0.706284542425508	0.469435536827717
s2	2	0.252831725148599	0.720252596580145
s3	3	1.65622432449335	1.71372644978022
s4	4	-2.5137356956252	0.034556082888881
s5	5	0.504556896144262	0.169100835509148
s6	6	-0.641003222102664	0.917590981748745
s7	7	-0.210514764839423	0.462975521074887
s8	8	-2.22704663416612	-0.566925071541718
s9	9	-0.542237771018278	-1.25371889290561
s10	10	1.43384194291522	-0.534045950722997
s11	11	-0.173706610137727	-0.963404208984092
s12	12	0.958262201275834	0.47154055074556
s13	13	0.510049538124712	1.54810951229019
s14	14	-0.0905064065845691	-0.205088412342402
s15	15	-0.0904319963382229	0.388078861352088
s16	16	-0.793757401178324	-0.363202112010152
s17	17	0.562608138435404	-0.0583936756344178
s18	18	0.216783159925375	0.975678291267096
s19	19	0.589482460386833	-0.826595641092956
s20	20	1.04234895548874	0.269360394722293
s21	21	0.444140814997633	-0.0723131121887363
s22	22	0.229769114830479	-1.38389633294885
s23	23	-0.415247168580913	-0.618029610285101
s24	24	0.476574134629487	-2.19664527766957
s25	25	2.27272245722343	-1.10301843460504
s26	26	0.0440937775534006	-1.27440731920212
s27	27	-0.0142879272613592	-0.889377827835312
s28	28	-0.567912400096514	-1.4529154817611
s29	29	-0.275338520551282	-0.170898169391132
s30	30	-1.07302307467161	-0.055406307143816
s31	31	-1.32060436097808	0.0632202802349094
s32	32	-0.159276194837288	0.974216715362546
s33	33	-0.124650380153915	-0.656444904276957
s34	34	0.442601133542241	0.309963145154952
s35	35	0.779839704875972	-0.127260779996025
s36	36	-0.411310495297845	-0.575397030334048
s37	37	-0.873543601740204	-1.21058337692148
s38	38	-0.00305849161020976	1.00403261783324
s39	39	-0.757307625174287	0.0176086509707801
s40	40	-1.43430732239723	0.761016967195742
s41	41	0.670104394590833	2.19635637213377
s42	42	0.290935458328002	1.60287743719405
s43	43	-0.977699567548759	-0.483105866957548
s44	44	-0.16791799864727	2.24063957985829
s45	45	-1.93684933033372	0.531048313120258
s46	46	1.88855851078884	-1.65525965454068
s47	47	0.757867203947331	1.27691202801263
s48	48	1.83273204983265	-0.601542592120212
s49	49	0.644631406817899	0.17957832155393
s50	50	19.8856824915647	20
