index	count
0.0	130.0
1.0	50.0
2.0	127.0
3.0	2.0
4.0	141.0
5.0	33.0
6.0	130.0
7.0	278.0
8.0	161.0
9.0	95.0
10.0	114.0
11.0	37.0
12.0	82.0
13.0	293.0
14.0	49.0
15.0	103.0
16.0	143.0
17.0	63.0
18.0	230.0
19.0	1.0
20.0	86.0
21.0	161.0
22.0	75.0
23.0	190.0
24.0	401.0
25.0	56.0
26.0	138.0
27.0	269.0
28.0	226.0
29.0	167.0
30.0	216.0
31.0	235.0
32.0	60.0
33.0	262.0
34.0	570.0
35.0	132.0
36.0	431.0
37.0	326.0
38.0	147.0
39.0	181.0
40.0	211.0
41.0	12.0
42.0	87.0
43.0	199.0
44.0	93.0
45.0	68.0
46.0	66.0
47.0	120.0
48.0	107.0
49.0	103.0
50.0	20.0
51.0	235.0
52.0	93.0
53.0	276.0
54.0	60.0
55.0	137.0
56.0	222.0
57.0	141.0
58.0	452.0
59.0	62.0
60.0	132.0
61.0	242.0
62.0	13.0
63.0	197.0
64.0	100.0
65.0	60.0
66.0	302.0
67.0	231.0
68.0	106.0
69.0	38.0
70.0	156.0
71.0	272.0
72.0	149.0
73.0	87.0
74.0	204.0
75.0	168.0
76.0	52.0
77.0	128.0
78.0	122.0
79.0	455.0
80.0	301.0
81.0	104.0
82.0	87.0
83.0	95.0
84.0	68.0
85.0	209.0
86.0	65.0
87.0	422.0
88.0	298.0
89.0	342.0
90.0	223.0
91.0	31.0
92.0	48.0
93.0	146.0
94.0	120.0
95.0	185.0
96.0	126.0
97.0	115.0
98.0	84.0
99.0	217.0
100.0	99.0
101.0	66.0
102.0	121.0
103.0	129.0
104.0	9.0
105.0	60.0
106.0	197.0
107.0	216.0
108.0	102.0
109.0	52.0
110.0	315.0
111.0	84.0
112.0	1.0
113.0	208.0
114.0	72.0
115.0	160.0
116.0	7.0
117.0	368.0
118.0	2.0
119.0	94.0
120.0	4.0
121.0	248.0
122.0	334.0
123.0	113.0
124.0	223.0
125.0	10.0
126.0	206.0
127.0	144.0
128.0	2.0
129.0	5.0
130.0	103.0
131.0	236.0
132.0	376.0
133.0	517.0
134.0	3.0
135.0	143.0
136.0	74.0
137.0	287.0
138.0	2.0
139.0	74.0
140.0	96.0
141.0	145.0
142.0	261.0
143.0	196.0
144.0	115.0
145.0	94.0
146.0	5.0
147.0	117.0
148.0	106.0
149.0	308.0
150.0	300.0
151.0	38.0
152.0	28.0
153.0	24.0
154.0	80.0
155.0	4.0
156.0	44.0
157.0	85.0
158.0	160.0
159.0	3.0
160.0	73.0
161.0	161.0
162.0	144.0
163.0	89.0
164.0	110.0
165.0	61.0
166.0	146.0
167.0	271.0
168.0	150.0
169.0	69.0
170.0	176.0
171.0	39.0
172.0	211.0
173.0	138.0
174.0	112.0
175.0	60.0
176.0	3.0
177.0	76.0
178.0	206.0
179.0	121.0
180.0	13.0
181.0	283.0
182.0	46.0
183.0	64.0
184.0	100.0
185.0	197.0
186.0	238.0
187.0	8.0
188.0	244.0
189.0	143.0
190.0	154.0
191.0	277.0
192.0	962.0
193.0	100.0
194.0	83.0
195.0	62.0
196.0	81.0
197.0	283.0
198.0	9.0
199.0	212.0
200.0	282.0
201.0	261.0
