index	count	name
0.0	13.0	Adolescent fertility rate (%)
1.0	13.0	Adult literacy rate (%)
2.0	22.0	Gross national income per capita (PPP international $)
3.0	10.0	Net primary school enrolment ratio female (%)
4.0	19.0	Net primary school enrolment ratio male (%)
5.0	11.0	Population (in thousands) total
6.0	27.0	Population annual growth rate (%)
7.0	20.0	Population in urban areas (%)
8.0	17.0	Population living below the poverty line (% living on &lt; US$1 per day)
9.0	10.0	Population median age (years)
10.0	14.0	Population proportion over 60 (%)
11.0	10.0	Population proportion under 15 (%)
12.0	11.0	Registration coverage of births (%)
13.0	18.0	Total fertility rate (per woman)
14.0	20.0	Antenatal care coverage - at least four visits (%)
15.0	54.0	Antiretroviral therapy coverage among HIV-infected pregt women for PMTCT (%)
16.0	24.0	Antiretroviral therapy coverage among people with advanced HIV infections (%)
17.0	27.0	Births attended by skilled health personnel (%)
18.0	21.0	Births by caesarean section (%)
19.0	4.0	Children aged 6-59 months who received vitamin A supplementation (%)
20.0	11.0	Children aged &lt;5 years sleeping under insecticide-treated nets (%)
21.0	17.0	Children aged &lt;5 years who received any antimalarial treatment for fever (%)
22.0	52.0	Children aged &lt;5 years with ARI symptoms taken to facility (%)
23.0	38.0	Children aged &lt;5 years with diarrhoea receiving ORT (%)
24.0	31.0	Contraceptive prevalence (%)
25.0	15.0	Neonates protected at birth against neonatal tetanus (PAB) (%)
26.0	21.0	One-year-olds immunized with MCV
27.0	18.0	One-year-olds immunized with three doses of diphtheria tetanus toxoid and pertussis (DTP3) (%)
28.0	27.0	One-year-olds immunized with three doses of Hepatitis B (HepB3) (%)
29.0	36.0	One-year-olds immunized with three doses of Hib (Hib3) vaccine (%)
30.0	21.0	Tuberculosis detection rate under DOTS (%)
31.0	20.0	Tuberculosis treatment success under DOTS (%)
32.0	20.0	Women who have had mammography (%)
33.0	22.0	Women who have had PAP smear (%)
34.0	22.0	Community and traditional health workers density (per 10 000 population)
35.0	40.0	Dentistry personnel density (per 10 000 population)
36.0	33.0	Environment and public health workers density (per 10 000 population)
37.0	15.0	External resources for health as percentage of total expenditure on health
38.0	18.0	General government expenditure on health as percentage of total expenditure on health
39.0	23.0	General government expenditure on health as percentage of total government expenditure
40.0	21.0	Hospital beds (per 10 000 population)
41.0	52.0	Laboratory health workers density (per 10 000 population)
42.0	25.0	Number of community and traditional health workers
43.0	41.0	Number of dentistry personnel
44.0	30.0	Number of environment and public health workers
45.0	83.0	Number of laboratory health workers
46.0	41.0	Number of nursing and midwifery personnel
47.0	56.0	Number of other health service providers
48.0	17.0	Number of pharmaceutical personnel
49.0	26.0	Number of physicians
50.0	13.0	Nursing and midwifery personnel density (per 10 000 population)
51.0	54.0	Other health service providers density (per 10 000 population)
52.0	48.0	Out-of-pocket expenditure as percentage of private expenditure on health
53.0	22.0	Per capita government expenditure on health (PPP int. $)
54.0	19.0	Per capita government expenditure on health at average exchange rate (US$)
55.0	27.0	Per capita total expenditure on health (PPP int. $)
56.0	29.0	Per capita total expenditure on health at average exchange rate (US$)
57.0	23.0	Pharmaceutical personnel density (per 10 000 population)
58.0	12.0	Physicians density (per 10 000 population)
59.0	18.0	Private expenditure on health as percentage of total expenditure on health
60.0	51.0	Private prepaid plans as percentage of private expenditure on health
61.0	6.0	Ratio of health management and support workers to health service providers
62.0	16.0	Ratio of nurses and midwives to physicians
63.0	16.0	Social security expenditure on health as percentage of general government expenditure on health
64.0	42.0	Total expenditure on health as percentage of gross domestic product
65.0	44.0	Births attended by skilled health personnel (%) highest educational level of mother
66.0	28.0	Births attended by skilled health personnel (%) highest wealth quintile
67.0	25.0	Births attended by skilled health personnel (%) lowest educational level of mother
68.0	27.0	Births attended by skilled health personnel (%) lowest wealth quintile
69.0	16.0	Births attended by skilled health personnel (%) rural
70.0	30.0	Births attended by skilled health personnel (%) urban
71.0	29.0	Births attended by skilled health personnel difference highest lowest educational level of mother
72.0	42.0	Births attended by skilled health personnel difference highest-lowest wealth quintile
73.0	25.0	Births attended by skilled health personnel difference urban-rural
74.0	21.0	Births attended by skilled health personnel ratio highest-lowest educational level of mother
75.0	27.0	Births attended by skilled health personnel ratio highest-lowest wealth quintile
76.0	33.0	Births attended by skilled health personnel ratio urban-rural
77.0	35.0	Measles immunization coverage among one-year-olds (%) highest educational level of mother
78.0	36.0	Measles immunization coverage among one-year-olds (%) highest wealth quintile
79.0	34.0	Measles immunization coverage among one-year-olds (%) lowest educational level of mother
80.0	17.0	Measles immunization coverage among one-year-olds (%) lowest wealth quintile
81.0	21.0	Measles immunization coverage among one-year-olds (%) rural
82.0	36.0	Measles immunization coverage among one-year-olds (%) urban
83.0	39.0	Measles immunization coverage among one-year-olds difference highest-lowest educational level of mother
84.0	30.0	Measles immunization coverage among one-year-olds difference highest-lowest wealth quintile
85.0	30.0	Measles immunization coverage among one-year-olds difference urban-rural
86.0	54.0	Measles immunization coverage among one-year-olds ratio highest-lowest educational level of mother
87.0	34.0	Measles immunization coverage among one-year-olds ratio highest-lowest wealth quintile
88.0	24.0	Measles immunization coverage among one-year-olds ratio urban-rural
89.0	27.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) difference lowest-highest educational level of mother
90.0	42.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) difference lowest-highest wealth quintile
91.0	30.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) difference rural-urban
92.0	23.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) highest educational level of mother
93.0	29.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) highest wealth quintile
94.0	19.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) lowest educational level of mother
95.0	10.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) lowest wealth quintile
96.0	33.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) ratio lowest-highest educational level of mother
97.0	35.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) ratio lowest-highest wealth quintile
98.0	42.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) ratio rural-urban
99.0	11.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) rural
100.0	19.0	Under-5 mortality rate (Probability of dying aged &lt; 5 years per 1 000 live births) urban
101.0	14.0	Adult mortality rate (probability of dying between 15 to 60 years per 1000 population) both sexes
102.0	13.0	Adult mortality rate (probability of dying between 15 to 60 years per 1000 population) female
103.0	14.0	Adult mortality rate (probability of dying between 15 to 60 years per 1000 population) male
104.0	25.0	Age-standardized mortality rate for cancer (per 100 000 population)
105.0	27.0	Age-standardized mortality rate for cardiovascular diseases (per 100 000 population)
106.0	14.0	Age-standardized mortality rate for injuries (per 100 000 population)
