index	count
0.0	13.0
1.0	13.0
2.0	22.0
3.0	10.0
4.0	19.0
5.0	11.0
6.0	27.0
7.0	20.0
8.0	17.0
9.0	10.0
10.0	14.0
11.0	10.0
12.0	11.0
13.0	18.0
14.0	20.0
15.0	54.0
16.0	24.0
17.0	27.0
18.0	21.0
19.0	4.0
20.0	11.0
21.0	17.0
22.0	52.0
23.0	38.0
24.0	31.0
25.0	15.0
26.0	21.0
27.0	18.0
28.0	27.0
29.0	36.0
30.0	21.0
31.0	20.0
32.0	20.0
33.0	22.0
34.0	22.0
35.0	40.0
36.0	33.0
37.0	15.0
38.0	18.0
39.0	23.0
40.0	21.0
41.0	52.0
42.0	25.0
43.0	41.0
44.0	30.0
45.0	83.0
46.0	41.0
47.0	56.0
48.0	17.0
49.0	26.0
50.0	13.0
51.0	54.0
52.0	48.0
53.0	22.0
54.0	19.0
55.0	27.0
56.0	29.0
57.0	23.0
58.0	12.0
59.0	18.0
60.0	51.0
61.0	6.0
62.0	16.0
63.0	16.0
64.0	42.0
65.0	44.0
66.0	28.0
67.0	25.0
68.0	27.0
69.0	16.0
70.0	30.0
71.0	29.0
72.0	42.0
73.0	25.0
74.0	21.0
75.0	27.0
76.0	33.0
77.0	35.0
78.0	36.0
79.0	34.0
80.0	17.0
81.0	21.0
82.0	36.0
83.0	39.0
84.0	30.0
85.0	30.0
86.0	54.0
87.0	34.0
88.0	24.0
89.0	27.0
90.0	42.0
91.0	30.0
92.0	23.0
93.0	29.0
94.0	19.0
95.0	10.0
96.0	33.0
97.0	35.0
98.0	42.0
99.0	11.0
100.0	19.0
101.0	14.0
102.0	13.0
103.0	14.0
104.0	25.0
105.0	27.0
106.0	14.0
107.0	11.0
108.0	15.0
109.0	18.0
110.0	24.0
111.0	22.0
112.0	13.0
113.0	18.0
114.0	24.0
115.0	18.0
116.0	24.0
117.0	16.0
118.0	20.0
119.0	18.0
120.0	15.0
121.0	14.0
122.0	13.0
123.0	12.0
124.0	15.0
125.0	14.0
126.0	20.0
127.0	16.0
128.0	13.0
129.0	16.0
130.0	9.0
131.0	18.0
132.0	23.0
133.0	14.0
134.0	19.0
135.0	19.0
136.0	16.0
137.0	13.0
138.0	31.0
139.0	14.0
140.0	31.0
141.0	18.0
142.0	17.0
143.0	21.0
144.0	18.0
145.0	25.0
146.0	29.0
147.0	16.0
148.0	14.0
149.0	25.0
150.0	18.0
151.0	17.0
152.0	8.0
153.0	23.0
154.0	43.0
155.0	23.0
156.0	56.0
157.0	27.0
158.0	26.0
159.0	19.0
160.0	19.0
161.0	14.0
162.0	34.0
163.0	17.0
164.0	30.0
165.0	20.0
166.0	37.0
167.0	6.0
168.0	36.0
169.0	18.0
170.0	17.0
171.0	15.0
172.0	41.0
173.0	44.0
174.0	17.0
175.0	20.0
176.0	12.0
177.0	30.0
178.0	41.0
179.0	43.0
180.0	46.0
181.0	17.0
182.0	27.0
183.0	27.0
184.0	12.0
185.0	19.0
186.0	37.0
187.0	18.0
188.0	13.0
189.0	19.0
190.0	12.0
191.0	14.0
192.0	29.0
193.0	46.0
194.0	52.0
195.0	45.0
196.0	20.0
197.0	23.0
198.0	59.0
199.0	23.0
200.0	15.0
201.0	14.0
202.0	23.0
203.0	22.0
204.0	20.0
205.0	33.0
206.0	39.0
207.0	31.0
208.0	34.0
209.0	32.0
210.0	23.0
211.0	13.0
212.0	14.0
213.0	22.0
214.0	27.0
215.0	25.0
216.0	17.0
217.0	24.0
218.0	33.0
219.0	49.0
220.0	14.0
221.0	30.0
222.0	55.0
223.0	38.0
224.0	31.0
225.0	20.0
226.0	14.0
227.0	32.0
228.0	19.0
229.0	23.0
