analysis_id	TP	FP	FN	TN	dataset
Lung transcriptomics	0.003180039	0.048923679	0.071149008	0.876747274	LungTX
Lung transcriptomics	0.018905507	0.028899916	0.077229522	0.874965055	LungTX
Lung transcriptomics	0.017507688	0.028690243	0.069401733	0.884400335	LungTX
Lung pneumotyping	0.004096654	0.056668144	0.055620475	0.883614726	LungPT
Lung pneumotyping	0.00844851	0.020698177	0.045036333	0.92581698	LungPT
Lung pneumotyping	0.007682906	0.020698177	0.045345261	0.926273656	LungPT
CRC (IJ)	0.002553191	0.02387234	0.036638298	0.93693617	CRC
CRC (IJ)	0.008468085	0.013914894	0.033617021	0.944	CRC
CRC (IJ)	0.007659574	0.013148936	0.029787234	0.949404255	CRC
Hippgut (stool)	0.063965223	0.081198572	0.092687471	0.762148735	HGStool
Hippgut (stool)	0.107126223	0.05899705	0.111628629	0.722248098	HGStool
Hippgut (stool)	0.105107902	0.061170626	0.099363453	0.734358019	HGStool
Hippgut (oral)	0.072349014	0.057133985	0.111162863	0.759354138	HGOral
Hippgut (oral)	0.11970191	0.060860115	0.119546654	0.699891321	HGOral
Hippgut (oral)	0.119236143	0.059928583	0.106815712	0.714019562	HGOral
Nature Gut IBD	0.064563463	0.052090976	0.084372707	0.798972854	IBD
Nature Gut IBD	0.705796038	0.023477623	0.031548056	0.239178283	IBD
Nature Gut IBD	0.693323551	0.029347029	0.033015407	0.244314013	IBD
CA	0.00239547	0.030052265	0.047038328	0.920513937	CA
CA	0.008928571	0.019599303	0.035714286	0.93575784	CA
CA	0.008275261	0.018945993	0.035496516	0.93728223	CA
Statin	0.332949488	0.049298186	0.034857303	0.582895023	Statin
Statin	0.409635554	0.036818026	0.042451215	0.511095204	Statin
Statin	0.364881267	0.022128163	0.02365317	0.5893374	Statin
Mennonites	0.023511357	0.049785144	0.0737876	0.852915899	Mennonites
Mennonites	0.051688152	0.037937385	0.070411295	0.839963168	Mennonites
Mennonites	0.049294045	0.038489871	0.066666667	0.845549417	Mennonites
