analysis_id	TP	FP	FN	TN	dataset
natcom / acetylation	0.1	0.1	0.3	0.5	NC
natcom / acetylation	0.1	0.1	0.3	0.5	NC
natcom / acetylation	0	0.1	0.1	0.8	NC
Liver M Full	0.36644392	0.079372357	0.096646136	0.457537588	LiverM
Liver M Full	0.404121361	0.043432281	0.057830261	0.494616097	LiverM
Liver M Full	0.404324658	0.045057269	0.055128894	0.495489179	LiverM
Liver F Full	0.415490414	0.075223056	0.089749931	0.4195366	LiverF
Liver F Full	0.463362817	0.040347473	0.051580069	0.444709642	LiverF
Liver F Full	0.462287673	0.04172903	0.049473156	0.446510142	LiverF
Covid full	0.262039904	0.067767458	0.092621259	0.577571379	CovidLong
Covid full	0.328173375	0.031389749	0.051857585	0.588579291	CovidLong
Covid full	0.327141383	0.033883729	0.048847609	0.590127279	CovidLong
Spatial	0.06462585	0.091836735	0.096938776	0.746598639	Spatial
Spatial	0.079931973	0.057823129	0.113095238	0.74914966	Spatial
Spatial	0.074829932	0.06037415	0.103741497	0.761054422	Spatial
HDAC Full	0.430035304	0.080933899	0.090984091	0.398046706	HDAC
HDAC Full	0.480380777	0.026441889	0.032131954	0.46104538	HDAC
HDAC Full	0.484596443	0.02705556	0.031028279	0.457319718	HDAC
