analysis_id,parameter,fold_value,infln,seed,class,sample_size,corr_strength,indicator,Method
p_1_pearson_False_0_FP_50_0.29,p,1,False,0,FP,50,0.29,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.3,p,1,False,0,FP,50,0.3,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.31,p,1,False,0,FP,50,0.31,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.32,p,1,False,0,FP,50,0.32,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.33,p,1,False,0,FP,50,0.33,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.34,p,1,False,0,FP,50,0.34,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.35,p,1,False,0,FP,50,0.35,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.36,p,1,False,0,FP,50,0.36,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.37,p,1,False,0,FP,50,0.37,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.38,p,1,False,0,FP,50,0.38,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.39,p,1,False,0,FP,50,0.39,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.4,p,1,False,0,FP,50,0.4,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.41,p,1,False,0,FP,50,0.41,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.42,p,1,False,0,FP,50,0.42,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.43,p,1,False,0,FP,50,0.43,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.44,p,1,False,0,FP,50,0.44,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.45,p,1,False,0,FP,50,0.45,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.46,p,1,False,0,FP,50,0.46,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.47,p,1,False,0,FP,50,0.47,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.48,p,1,False,0,FP,50,0.48,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.49,p,1,False,0,FP,50,0.49,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.5,p,1,False,0,FP,50,0.5,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.51,p,1,False,0,FP,50,0.51,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_FP_50_0.52,p,1,False,0,FP,50,0.52,0.0,CUTIE (p < 0.05)
